frocio,terrone,mongoloide,troia,rabbino,terrorista
pervertito,zingaro,spastico,puttana,usurario,jihadista
checca,negro,cerebroleso,zoccola,giudeo,beduino
finocchio,muso giallo,handicappato,vacca,ebreo,tagliagole
pompinaro,rumeno,storpio,cicciona,cazzo mozzo,abdullah
culattone,albanese,mongoflettico,mignotta,strozzino,marocchino
bocchinaro,muso da scimmia,nano,bagascia,ebrei ai forni,vu cumprà
rottinculo,bangla,zoppo,bocchinara,sionista,
culanda,mangia rane,quattrocchi,strappona,,
leccafiche,kebabbaro,cecato,ciuccia cazzi,,
ricchione,crucco,ritardato,smandrappona,,
invertito,rabbino,demente,pompinara,,
piglianculo,sbarcato,down,cagna,,
ciuccia cazzi,mangia banane,,frigida,,
passiva,,,figa di legno,,
deviato,,,battona,,
camionista,,,cesso,,
