frocio,terrone,mongoloide,troia,usurario,beduino
pervertito,zingaro,spastico,puttana,giudeo,abdullah
checca,negro,cerebroleso,zoccola,cazzo mozzo,vu cumprà
finocchio,muso giallo,handicappato,vacca,strozzino,popoli barbari
pompinaro,muso da scimmia,storpio,cicciona,ebrei ai forni,
culattone,bangla,mongoflettico,mignotta,sionista,
bocchinaro,mangia rane,nano,bagascia,,
rottinculo,kebabbaro,cecato,bocchinara,,
culanda,crucco,demente,strappona,,
leccafiche,,subnormale,ciuccia cazzi,,
ricchione,mangia banane,arteriosclerotico,smandrappona,,
piglianculo,nigga,ebete,pompinara,,
ciuccia cazzi,nigger,ritardato mentale,cagna,,
passiva,zulù,,frigida,,
deviato,mestizo,,figa di legno,,
,polentone,,battona,,
,,,sciacquetta,,
,terronia,,puttana crepa,,
,shari'a,,sgualdrinetta,,
,islam,,donna di facili costumi,,
,sharia ,,fornicatrice,,
,islamista ,,donna di strada,,
,negriera,,zambracca,,
,negroide,,sgualdrina,,
,feccia,,meretrice,,
,,,fregna,,
,,,sorca,,
